"a badger","A Thick Forest","day","agile","lacks aggression."
"a badger","A Wooded Area","day","agile","lacks aggression."
"a badger","Forestland","dawn","agile","lacks aggression."
"a badger","Forestland","day","agile","lacks aggression."
"a badger","Forestland","dusk","agile","lacks aggression."
"a badger","Grasslands","dusk","agile","lacks aggression."
"a badger","Grassy hills","day","agile","lacks aggression."
"a badger","Grassy hills","dusk","agile","lacks aggression."
"a badger","Grassy plains","day","agile","lacks aggression."
"a badger","Grassy plains","dusk","agile","lacks aggression."
"a badger","In A Dense Forest","dawn","agile","lacks aggression."
"a badger","In A Dense Forest","day","agile","lacks aggression."
"a badger","In A Dense Forest","dusk","agile","lacks aggression."
"a badger","In The Woods","dusk","agile","lacks aggression."
"a badger","Woodland","day","agile","lacks aggression."
"a badger","Woodland","dusk","agile","lacks aggression."
"a bear","A Thick Forest","dawn","very aggressive","extremely slow."
"a bear","A Thick Forest","day","very aggressive","extremely slow."
"a bear","A Thick Forest","dusk","very aggressive","extremely slow."
"a bear","Forestland","dawn","very aggressive","extremely slow."
"a bear","Forestland","day","very aggressive","extremely slow."
"a bear","Forestland","dusk","very aggressive","extremely slow."
"a bear","Grasslands","day","very aggressive","extremely slow."
"a bear","Grassy plains","day","very aggressive","extremely slow."
"a bear","In A Dense Forest","dawn","very aggressive","extremely slow."
"a bear","In A Dense Forest","day","very aggressive","extremely slow."
"a bear","In A Dense Forest","dusk","very aggressive","extremely slow."
"a bear","In The Woods","day","very aggressive","extremely slow."
"a bear","In The Woods","dusk","very aggressive","extremely slow."
"a bear","Woodland","dusk","very aggressive","extremely slow."
"a beaver","Crossing The River","dusk","very aggressive","very slow."
"a beaver","Crossing The River","night","very aggressive","very slow."
"a beaver","Edge Of The River","night","very aggressive","very slow."
"a beaver","In The River","dusk","very aggressive","very slow."
"a beaver","In The River","night","very aggressive","very slow."
"a beaver","On The Riverbed","dusk","very aggressive","very slow."
"a beaver","On The Riverbed","night","very aggressive","very slow."
"a bee","A Thick Forest","dawn","very swift and agile","extremely frail."
"a bee","A Thick Forest","day","very swift and agile","extremely frail."
"a bee","A Thick Forest","dusk","very swift and agile","extremely frail."
"a bee","A Wooded Area","day","very swift and agile","extremely frail."
"a bee","A Wooded Area","dusk","very swift and agile","extremely frail."
